Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,730.599976,730.599976,702.039978,710.820007,658.777283,623600
2021-01-05,708.809998,717.210022,705.260010,714.580017,662.261963,431400
2021-01-06,718.760010,744.789978,716.099976,734.960022,681.149902,730700
2021-01-07,748.340027,753.270020,743.010010,750.419983,695.477905,656000
2021-01-08,757.150024,759.369995,747.419983,756.450012,701.066528,622900
2021-01-11,752.820007,770.400024,750.510010,766.679993,710.547363,614400
2021-01-12,763.510010,779.309998,763.500000,777.739990,720.797546,675900
2021-01-13,778.700012,788.000000,776.609985,779.750000,722.660522,848600
2021-01-14,750.000000,765.859985,739.059998,743.500000,689.064575,1642900
2021-01-15,742.179993,754.440002,724.000000,727.760010,674.476929,1174500
2021-01-19,737.719971,744.419983,729.020020,733.650024,679.935669,852400
2021-01-20,738.710022,742.419983,729.150024,741.539978,687.247986,747600
2021-01-21,744.710022,745.770020,737.000000,742.200012,687.859802,639600
2021-01-22,739.900024,743.729980,730.820007,735.049988,681.233215,565700
2021-01-25,730.820007,735.770020,713.630005,722.979980,670.046875,806400
2021-01-26,726.989990,733.900024,720.039978,721.849976,668.999695,827900
2021-01-27,713.200012,713.989990,685.690002,697.789978,646.701294,1104400
2021-01-28,701.500000,731.020020,699.429993,719.909973,667.201721,822400
2021-01-29,715.359985,717.080017,698.619995,701.260010,649.917175,801100
2021-02-01,708.000000,713.950012,701.270020,713.169983,660.955261,483100
2021-02-02,719.369995,733.320007,719.369995,729.500000,676.089539,879300
2021-02-03,720.000000,727.440002,716.549988,724.080017,671.066467,685300
2021-02-04,724.299988,737.659973,724.299988,732.450012,678.823669,636400
2021-02-05,734.190002,737.479980,725.119995,726.330017,673.151672,474900
2021-02-08,730.679993,731.739990,720.650024,726.450012,673.262878,532900
2021-02-09,727.750000,731.309998,719.349976,728.799988,675.440735,451000
2021-02-10,732.409973,732.969971,721.000000,723.169983,670.223083,663100
2021-02-11,729.619995,729.710022,716.869995,721.429993,668.610413,803900
2021-02-12,715.349976,731.500000,712.690002,722.979980,670.046875,862800
2021-02-16,728.669983,737.719971,726.919983,730.309998,676.840271,571400
2021-02-17,725.979980,728.700012,718.469971,721.390015,668.573364,567100
2021-02-18,716.429993,717.119995,696.479980,703.530029,652.021057,1078700
2021-02-19,707.419983,716.580017,706.500000,710.109985,658.119263,804200
2021-02-22,705.380005,705.979980,697.270020,703.140015,651.659546,829900
2021-02-23,700.510010,705.669983,688.309998,703.159973,651.677979,926300
2021-02-24,704.500000,713.229980,700.390015,712.099976,659.963440,583200
2021-02-25,714.229980,714.500000,692.150024,694.789978,643.920776,591000
2021-02-26,697.789978,701.020020,689.280029,694.500000,643.652222,768500
2021-03-01,706.820007,721.969971,705.210022,719.200012,666.543701,652800
2021-03-02,719.729980,723.599976,713.609985,716.309998,663.865356,455100
2021-03-03,718.539978,721.380005,701.299988,701.489990,650.130310,703000
2021-03-04,693.400024,698.859985,676.419983,683.210022,636.938721,915400
2021-03-05,691.900024,704.030029,670.280029,702.280029,654.717102,698500
2021-03-08,699.559998,712.169983,696.840027,698.960022,651.622009,649800
2021-03-09,707.979980,725.239990,703.900024,722.000000,673.101563,959700
2021-03-10,726.690002,733.590027,724.200012,728.500000,679.161316,823300
2021-03-11,732.479980,733.690002,719.330017,722.119995,673.213440,751600
2021-03-12,719.280029,722.619995,712.500000,716.190002,667.685120,528700
2021-03-15,720.710022,720.710022,707.270020,719.010010,670.313965,526800
2021-03-16,721.940002,727.390015,715.760010,723.070007,674.099121,562200
2021-03-17,721.349976,730.400024,719.909973,728.219971,678.900208,463600
2021-03-18,728.989990,739.950012,722.460022,723.729980,674.714478,640100
2021-03-19,720.260010,740.650024,713.510010,729.640015,680.224182,1452200
2021-03-22,729.640015,736.190002,725.570007,730.919983,681.417419,524700
2021-03-23,729.780029,729.780029,714.169983,716.570007,668.039307,556700
2021-03-24,721.099976,731.200012,721.099976,722.750000,673.800720,544700
2021-03-25,723.549988,728.679993,712.270020,727.500000,678.229004,462800
2021-03-26,731.320007,758.219971,731.320007,756.900024,705.637817,803700
2021-03-29,746.580017,761.849976,744.929993,757.859985,706.532898,581700
2021-03-30,755.059998,763.419983,746.960022,749.260010,698.515320,598800
2021-03-31,749.969971,762.250000,748.849976,753.960022,702.897095,638100
2021-04-01,759.780029,767.190002,757.599976,766.830017,714.895386,549200
2021-04-05,772.450012,787.760010,771.830017,784.020020,730.921204,593500
2021-04-06,786.479980,786.479980,778.729980,781.710022,728.767700,492300
2021-04-07,783.320007,790.219971,781.000000,788.000000,734.631531,477100
2021-04-08,791.000000,802.010010,789.090027,800.599976,746.378235,558500
2021-04-09,802.679993,810.619995,799.590027,808.349976,753.603333,484200
2021-04-12,804.609985,809.669983,801.510010,807.979980,753.258423,482800
2021-04-13,804.700012,806.630005,799.530029,802.489990,748.140137,376200
2021-04-14,799.530029,811.380005,798.140015,801.070007,746.816528,552900
2021-04-15,812.190002,827.849976,810.000000,817.840027,762.450684,766900
2021-04-16,823.820007,825.520020,805.520020,811.450012,756.493530,774600
2021-04-19,811.059998,815.500000,806.429993,811.090027,756.157898,491100
2021-04-20,807.260010,813.450012,800.840027,804.960022,750.442871,525200
2021-04-21,802.960022,812.390015,799.590027,811.530029,756.567993,388500
2021-04-22,811.010010,811.010010,793.530029,795.320007,741.455811,520000
2021-04-23,798.429993,816.909973,795.890015,813.169983,758.096924,489800
2021-04-26,814.520020,822.280029,814.020020,818.320007,762.898132,478200
2021-04-27,817.700012,822.690002,812.679993,820.510010,764.939880,328200
2021-04-28,819.869995,821.020020,815.299988,816.280029,760.996338,335300
2021-04-29,824.299988,829.510010,817.070007,827.320007,771.288574,455200
2021-04-30,821.780029,822.830017,813.780029,819.299988,763.811768,451200
2021-05-03,825.000000,832.400024,821.049988,825.619995,769.703674,490100
2021-05-04,822.250000,837.159973,819.000000,836.429993,779.781616,557900
2021-05-05,840.150024,852.119995,838.969971,851.010010,793.374207,569900
2021-05-06,851.359985,867.390015,849.090027,867.099976,808.374451,666600
2021-05-07,860.440002,877.059998,858.200012,873.830017,814.648743,474200
2021-05-10,875.440002,880.799988,857.419983,857.450012,799.378052,566400
2021-05-11,848.270020,855.309998,835.000000,844.099976,786.932129,671900
2021-05-12,839.789978,849.979980,819.940002,823.500000,767.727295,649700
2021-05-13,823.500000,845.210022,822.099976,838.989990,782.168213,554700
2021-05-14,848.650024,860.840027,845.400024,856.869995,798.837280,481500
2021-05-17,856.900024,860.150024,846.090027,849.460022,791.929260,347600
2021-05-18,852.820007,855.799988,839.580017,840.140015,783.240417,373700
2021-05-19,828.080017,838.969971,821.020020,838.520020,781.730103,632900
2021-05-20,841.549988,851.570007,836.650024,844.880005,787.659363,360800
2021-05-21,848.520020,864.849976,848.520020,860.770020,802.473206,692800
2021-05-24,866.450012,877.090027,866.169983,872.359985,813.278320,566800
2021-05-25,877.099976,881.299988,871.460022,874.270020,815.058838,625600
2021-05-26,883.429993,888.289978,870.330017,876.729980,817.352112,616200
2021-05-27,878.739990,884.450012,875.169983,876.429993,817.072571,704600
2021-05-28,879.239990,880.000000,874.539978,877.039978,817.641174,435400
2021-06-01,887.900024,889.989990,876.010010,876.909973,817.520081,407400
2021-06-02,878.479980,887.950012,876.809998,887.419983,827.318298,543400
2021-06-03,880.000000,888.400024,873.400024,881.010010,825.182678,430800
2021-06-04,883.909973,887.000000,877.840027,886.849976,830.652649,647000
2021-06-07,888.659973,890.000000,879.469971,884.960022,828.882446,400300
2021-06-08,884.299988,886.530029,878.090027,884.520020,828.470337,303300
2021-06-09,885.500000,886.460022,869.840027,870.940002,815.750854,463100
2021-06-10,879.739990,880.530029,867.340027,867.440002,812.472595,423300
2021-06-11,874.679993,880.929993,873.000000,880.659973,824.854919,444000
2021-06-14,881.000000,881.700012,873.520020,876.780029,821.220703,363700
2021-06-15,878.650024,884.890015,872.039978,881.010010,825.182678,442600
2021-06-16,880.000000,880.000000,862.919983,869.349976,814.261536,595600
2021-06-17,870.000000,874.159973,861.239990,868.820007,813.765259,569900
2021-06-18,850.919983,856.869995,839.010010,840.780029,787.502075,1059000
2021-06-21,849.000000,862.299988,846.969971,861.260010,806.684204,575800
